unique_id,target_arrival_time,target_end_time,target_position
5035,1569953159999999923,1569954600000000000,-19199
5010,1569953159999999923,1569954600000000000,-8330
5005,1569953159999999923,1569954600000000000,1818
5025,1569953159999999923,1569954600000000000,-9757
5040,1569953159999999923,1569954600000000000,-7175
5000,1569953159999999923,1569954600000000000,-3593
5015,1569953159999999923,1569954600000000000,327
5030,1569953159999999923,1569954600000000000,-7721
5020,1569953159999999923,1569954600000000000,-44124
5035,1569957239999999931,1569963600000000000,-19223
5010,1569957239999999931,1569963600000000000,-7352
5005,1569957239999999931,1569963600000000000,2226
5025,1569957239999999931,1569963600000000000,-9885
5040,1569957239999999931,1569963600000000000,-7057
5000,1569957239999999931,1569963600000000000,-3642
5015,1569957239999999931,1569963600000000000,26
5030,1569957239999999931,1569963600000000000,-7405
5020,1569957239999999931,1569963600000000000,-45547
5035,1570026179999999949,1570030200000000000,-18876
5010,1570026179999999949,1570030200000000000,-7042
5005,1570026179999999949,1570030200000000000,1702
5025,1570026179999999949,1570030200000000000,-10072
5040,1570026179999999949,1570030200000000000,-7290
5000,1570026179999999949,1570030200000000000,-3651
5015,1570026179999999949,1570030200000000000,179
5030,1570026179999999949,1570030200000000000,-7701
5020,1570026179999999949,1570030200000000000,-44988
5035,1570039979999999910,1570041000000000000,-13374
5010,1570039979999999910,1570041000000000000,-4982
5005,1570039979999999910,1570041000000000000,-2476
5025,1570039979999999910,1570041000000000000,-10549
5040,1570039979999999910,1570041000000000000,-10601
5000,1570039979999999910,1570041000000000000,-1893
5015,1570039979999999910,1570041000000000000,1927
5030,1570039979999999910,1570041000000000000,-10920
5020,1570039979999999910,1570041000000000000,-39356
5035,1570049399999999969,1570050000000000000,-13343
5010,1570049399999999969,1570050000000000000,-5242
5005,1570049399999999969,1570050000000000000,-2814
5025,1570049399999999969,1570050000000000000,-10535
5040,1570049399999999969,1570050000000000000,-10911
5000,1570049399999999969,1570050000000000000,-1913
5015,1570049399999999969,1570050000000000000,1877
5030,1570049399999999969,1570050000000000000,-11021
5020,1570049399999999969,1570050000000000000,-37904
5035,1570111979999999994,1570116600000000000,-13287
5010,1570111979999999994,1570116600000000000,-5409
5005,1570111979999999994,1570116600000000000,-3034
5025,1570111979999999994,1570116600000000000,-10619
5040,1570111979999999994,1570116600000000000,-10788
5000,1570111979999999994,1570116600000000000,-1957
5015,1570111979999999994,1570116600000000000,1782
5030,1570111979999999994,1570116600000000000,-10872
5020,1570111979999999994,1570116600000000000,-37850
5035,1570133999999999903,1570136400000000000,-12328
5010,1570133999999999903,1570136400000000000,-4436
5005,1570133999999999903,1570136400000000000,-3978
5025,1570133999999999903,1570136400000000000,-10648
5040,1570133999999999903,1570136400000000000,-9678
5000,1570133999999999903,1570136400000000000,-2065
5015,1570133999999999903,1570136400000000000,3248
5030,1570133999999999903,1570136400000000000,-8663
5020,1570133999999999903,1570136400000000000,-41916
5035,1570196699999999986,1570203000000000000,-12464
5010,1570196699999999986,1570203000000000000,-5055
5005,1570196699999999986,1570203000000000000,-3996
5025,1570196699999999986,1570203000000000000,-10529
5040,1570196699999999986,1570203000000000000,-9677
5000,1570196699999999986,1570203000000000000,-2271
5015,1570196699999999986,1570203000000000000,3081
5030,1570196699999999986,1570203000000000000,-8580
5020,1570196699999999986,1570203000000000000,-41484
5035,1570218659999999943,1570222800000000000,-12541
5010,1570218659999999943,1570222800000000000,-6319
5005,1570218659999999943,1570222800000000000,-4194
5025,1570218659999999943,1570222800000000000,-10968
5040,1570218659999999943,1570222800000000000,-6939
5000,1570218659999999943,1570222800000000000,-2334
5015,1570218659999999943,1570222800000000000,4205
5030,1570218659999999943,1570222800000000000,-5436
5020,1570218659999999943,1570222800000000000,-47673
5035,1570456139999999987,1570462200000000000,-12535
5010,1570456139999999987,1570462200000000000,-6320
5005,1570456139999999987,1570462200000000000,-4070
5025,1570456139999999987,1570462200000000000,-10886
5040,1570456139999999987,1570462200000000000,-7049
5000,1570456139999999987,1570462200000000000,-2380
5015,1570456139999999987,1570462200000000000,4051
5030,1570456139999999987,1570462200000000000,-5507
5020,1570456139999999987,1570462200000000000,-47765
5035,1570479599999999948,1570482000000000000,-16040
5010,1570479599999999948,1570482000000000000,-7955
5005,1570479599999999948,1570482000000000000,-3276
5025,1570479599999999948,1570482000000000000,-11006
5040,1570479599999999948,1570482000000000000,-8033
5000,1570479599999999948,1570482000000000000,-2455
5015,1570479599999999948,1570482000000000000,1930
5030,1570479599999999948,1570482000000000000,-6355
5020,1570479599999999948,1570482000000000000,-43295
5035,1570543679999999919,1570548600000000000,-15603
5010,1570543679999999919,1570548600000000000,-8447
5005,1570543679999999919,1570548600000000000,-3457
5025,1570543679999999919,1570548600000000000,-11030
5040,1570543679999999919,1570548600000000000,-8104
5000,1570543679999999919,1570548600000000000,-2444
5015,1570543679999999919,1570548600000000000,2042
5030,1570543679999999919,1570548600000000000,-6231
5020,1570543679999999919,1570548600000000000,-42969
5035,1570565039999999929,1570568400000000000,-11397
5010,1570565039999999929,1570568400000000000,-8907
5005,1570565039999999929,1570568400000000000,-2887
5025,1570565039999999929,1570568400000000000,-11619
5040,1570565039999999929,1570568400000000000,-9810
5000,1570565039999999929,1570568400000000000,-2188
5015,1570565039999999929,1570568400000000000,1885
5030,1570565039999999929,1570568400000000000,-8560
5020,1570565039999999929,1570568400000000000,-39665
5035,1570629539999999939,1570635000000000000,-11511
5010,1570629539999999939,1570635000000000000,-8927
5005,1570629539999999939,1570635000000000000,-2999
5025,1570629539999999939,1570635000000000000,-11634
5040,1570629539999999939,1570635000000000000,-9833
5000,1570629539999999939,1570635000000000000,-2167
5015,1570629539999999939,1570635000000000000,1961
5030,1570629539999999939,1570635000000000000,-8422
5020,1570629539999999939,1570635000000000000,-39522
5035,1570651739999999978,1570654800000000000,-13475
5010,1570651739999999978,1570654800000000000,-10705
5005,1570651739999999978,1570654800000000000,-3835
5025,1570651739999999978,1570654800000000000,-11638
5040,1570651739999999978,1570654800000000000,-8548
5000,1570651739999999978,1570654800000000000,-1955
5015,1570651739999999978,1570654800000000000,869
5030,1570651739999999978,1570654800000000000,-6780
5020,1570651739999999978,1570654800000000000,-42431
5035,1570718279999999938,1570721400000000000,-12316
5010,1570718279999999938,1570721400000000000,-8642
5005,1570718279999999938,1570721400000000000,-2044
5025,1570718279999999938,1570721400000000000,-12651
5040,1570718279999999938,1570721400000000000,-8188
5000,1570718279999999938,1570721400000000000,-811
5015,1570718279999999938,1570721400000000000,-944
5030,1570718279999999938,1570721400000000000,-5706
5020,1570718279999999938,1570721400000000000,-49182
5035,1570727039999999901,1570732200000000000,-12207
5010,1570727039999999901,1570732200000000000,-1538
5005,1570727039999999901,1570732200000000000,-2253
5025,1570727039999999901,1570732200000000000,-13462
5040,1570727039999999901,1570732200000000000,-8427
5000,1570727039999999901,1570732200000000000,-874
5015,1570727039999999901,1570732200000000000,-906
5030,1570727039999999901,1570732200000000000,-6445
5020,1570727039999999901,1570732200000000000,-52202
5035,1570738559999999907,1570741200000000000,-13445
5010,1570738559999999907,1570741200000000000,435
5005,1570738559999999907,1570741200000000000,-4254
5025,1570738559999999907,1570741200000000000,-13673
5040,1570738559999999907,1570741200000000000,-7944
5000,1570738559999999907,1570741200000000000,-711
5015,1570738559999999907,1570741200000000000,-390
5030,1570738559999999907,1570741200000000000,-5313
5020,1570738559999999907,1570741200000000000,-53924
5035,1570805399999999999,1570807800000000000,-14986
5010,1570805399999999999,1570807800000000000,19805
5005,1570805399999999999,1570807800000000000,3489
5025,1570805399999999999,1570807800000000000,-10035
5040,1570805399999999999,1570807800000000000,-3758
5000,1570805399999999999,1570807800000000000,455
5015,1570805399999999999,1570807800000000000,-5773
5030,1570805399999999999,1570807800000000000,562
5020,1570805399999999999,1570807800000000000,-50133
5035,1570822859999999902,1570827600000000000,-15761
5010,1570822859999999902,1570827600000000000,15996
5005,1570822859999999902,1570827600000000000,4105
5025,1570822859999999902,1570827600000000000,-7421
5040,1570822859999999902,1570827600000000000,-1529
